text,type,urgency,location
Lack of basic medical services reported in Jharkhand.,Medical,Medium,Jharkhand
"Local authorities in Goa report food issues, response needed.",Food,Medium,Goa
Urgent Medical assistance required in Gujarat.,Medical,Medium,Gujarat
Crisis alert: Shelter required in Madhya Pradesh. Urgency is High.,Shelter,High,Madhya Pradesh
"Food emergency reported in Odisha, situation is Medium.",Food,Medium,Odisha
"Ladakh facing food shortage, urgency level: Medium.",Food,Medium,Ladakh
"Appeal for rescue relief in Meghalaya, marked Low urgency.",Rescue,Low,Meghalaya
Crisis alert: Shelter required in Kolkata. Urgency is Low.,Shelter,Low,Kolkata
Volunteers needed for shelter support in Sikkim.,Shelter,High,Sikkim
"Food emergency reported in Delhi, situation is Medium.",Food,Medium,Delhi
Citizens in Kolkata need immediate shelter aid.,Shelter,Medium,Kolkata
"Appeal for other relief in Madhya Pradesh, marked Low urgency.",Other,Low,Madhya Pradesh
Lack of basic rescue services reported in Tripura.,Rescue,High,Tripura
"Appeal for rescue relief in Meghalaya, marked Medium urgency.",Rescue,Medium,Meghalaya
Urgent Food assistance required in Jammu.,Food,High,Jammu
"Medical emergency reported in Gujarat, situation is Low.",Medical,Low,Gujarat
Lack of basic other services reported in Odisha.,Other,Low,Odisha
"Delhi facing medical shortage, urgency level: High.",Medical,High,Delhi
"Jharkhand facing food shortage, urgency level: High.",Food,High,Jharkhand
"Local authorities in Himachal Pradesh report food issues, response needed.",Food,Medium,Himachal Pradesh
Severe food crisis unfolding in Uttar Pradesh.,Food,High,Uttar Pradesh
"Local authorities in Uttar Pradesh report shelter issues, response needed.",Shelter,High,Uttar Pradesh
"Mumbai facing other shortage, urgency level: High.",Other,High,Mumbai
"Local authorities in Bihar report food issues, response needed.",Food,Low,Bihar
Crisis alert: Shelter required in Chennai. Urgency is High.,Shelter,High,Chennai
"Medical emergency reported in Kerala, situation is Medium.",Medical,Medium,Kerala
"Local authorities in Uttar Pradesh report shelter issues, response needed.",Shelter,Medium,Uttar Pradesh
Urgent Food assistance required in Goa.,Food,Low,Goa
"Local authorities in Bihar report medical issues, response needed.",Medical,Medium,Bihar
Urgent Shelter assistance required in Mumbai.,Shelter,Medium,Mumbai
Citizens in Manipur need immediate food aid.,Food,Low,Manipur
"Local authorities in Assam report food issues, response needed.",Food,High,Assam
"Rescue emergency reported in Gujarat, situation is Low.",Rescue,Low,Gujarat
"Appeal for food relief in Andhra Pradesh, marked Medium urgency.",Food,Medium,Andhra Pradesh
Lack of basic medical services reported in Delhi.,Medical,Low,Delhi
Severe rescue crisis unfolding in Chennai.,Rescue,Low,Chennai
Volunteers needed for other support in Manipur.,Other,Medium,Manipur
